equipment_id,type,age,temperature,load,health,voltage,customers_served,critical_facility,latitude,longitude,previous_incidents,severity_encoded,days_since_last_failure,failure_next_7_days,weather_rainfall,weather_wind,weather_temperature,weather_storm,weather_flood_risk,age_risk_flag,health_risk_flag,load_risk_flag,temp_stress,incident_rate,network_importance
T001,Transformer,38,92.0,97.0,18.0,33,9500,1,12.961277,77.50378,11,4,967,1,3.0,44.7,38.3,1.0,0.28,1,1,1,32.0,0.2821,58.0
T002,Transformer,30,85.0,88.0,25.0,132,7200,1,13.098937,77.629815,8,3,929,1,76.1,6.5,34.4,0.0,0.12,1,1,1,25.0,0.2581,68.25
T003,Transformer,25,78.0,82.0,35.0,132,5800,0,13.092475,77.712369,6,3,840,1,112.0,56.5,32.0,1.0,0.68,1,1,1,18.0,0.2308,43.54
T004,Transformer,20,83.8,74.6,60.1,66,7815,0,12.945142,77.50893,9,3,585,0,71.5,50.1,32.2,0.0,0.59,0,0,0,23.799999999999997,0.4286,38.32
T005,Transformer,20,71.1,31.2,80.6,132,7563,1,13.13587,77.543097,6,2,952,0,76.1,6.5,34.4,0.0,0.12,0,0,0,11.099999999999994,0.2857,69.47
T006,Transformer,38,79.3,36.0,69.8,33,1059,0,12.937275,77.683221,6,3,650,0,115.9,24.8,35.7,0.0,0.05,1,0,0,19.299999999999997,0.1538,9.57
T007,Transformer,5,53.0,20.6,46.6,11,9101,0,13.004517,77.741548,9,1,768,0,112.0,56.5,32.0,1.0,0.68,0,0,0,0.0,1.5,32.65
T008,Transformer,31,93.1,83.0,83.3,11,5018,0,12.92679,77.600222,7,2,616,1,115.0,85.0,42.8,1.0,0.95,1,0,1,33.099999999999994,0.2188,18.9
T009,Transformer,10,88.1,73.2,25.0,66,9453,0,13.130813,77.493169,0,2,615,0,12.7,14.3,35.2,0.0,0.02,0,1,0,28.099999999999994,0.0,43.84
T010,Transformer,6,80.6,76.4,12.0,220,547,0,12.899382,77.454181,3,3,506,1,50.3,72.7,42.7,1.0,0.17,0,1,0,20.599999999999994,0.4286,41.84
T011,Transformer,24,42.7,82.5,18.1,11,2194,1,12.863473,77.518897,2,2,1068,0,50.3,72.7,42.7,1.0,0.17,1,1,1,0.0,0.08,29.39
T012,Transformer,43,60.3,56.7,75.0,66,5953,0,12.980529,77.489547,8,2,499,1,3.0,44.7,38.3,1.0,0.28,1,0,0,0.29999999999999716,0.1818,32.05
T013,Transformer,33,32.8,65.5,51.6,132,2299,0,13.147713,77.653298,0,2,456,0,76.1,6.5,34.4,0.0,0.12,1,0,0,0.0,0.0,31.74
T014,Transformer,34,40.0,31.2,24.5,33,3991,0,13.117503,77.48655,2,1,1051,0,12.7,14.3,35.2,0.0,0.02,1,1,0,0.0,0.0571,19.44
T015,Transformer,32,74.4,29.2,55.1,132,7944,1,13.074582,77.601899,7,1,784,0,76.1,6.5,34.4,0.0,0.12,1,0,0,14.400000000000006,0.2121,70.76
S001,Switch,28,88.0,91.0,20.0,33,6100,1,13.117238,77.658279,7,3,702,1,76.1,6.5,34.4,0.0,0.12,1,1,1,28.0,0.2414,46.55
S002,Switch,24,92.9,57.7,72.7,220,8148,0,13.118034,77.624335,6,2,912,0,76.1,6.5,34.4,0.0,0.12,1,0,0,32.900000000000006,0.24,67.44
S003,Switch,7,51.2,65.2,50.2,66,1285,1,13.005658,77.509933,10,1,664,0,66.6,71.7,35.0,0.0,0.15,0,0,0,0.0,1.25,36.33
S004,Switch,38,54.1,81.2,44.3,66,2143,0,12.944779,77.691237,11,2,485,0,115.9,24.8,35.7,0.0,0.05,1,0,1,0.0,0.2821,19.22
S005,Switch,21,60.5,70.8,37.1,11,7072,1,13.081604,77.664622,1,2,906,0,76.1,6.5,34.4,0.0,0.12,1,1,0,0.5,0.0455,45.82
S006,Switch,23,42.3,64.3,66.7,66,9532,0,13.048498,77.671695,11,2,519,0,112.0,56.5,32.0,1.0,0.68,1,0,0,0.0,0.4583,44.11
S007,Switch,17,38.4,64.7,42.6,220,2088,1,12.962097,77.489317,7,2,783,1,3.0,44.7,38.3,1.0,0.28,0,0,0,0.0,0.3889,67.03
S008,Switch,9,60.9,44.3,17.9,11,3634,0,12.87834,77.487126,7,3,1060,1,50.3,72.7,42.7,1.0,0.17,0,1,0,0.8999999999999986,0.7,14.24
L001,Line,41,44.7,22.5,20.6,132,11105,0,13.074037,77.728269,1,1,1051,1,112.0,56.5,32.0,1.0,0.68,1,1,0,0.0,0.0238,61.4
L002,Line,35,73.5,54.9,96.6,66,11876,0,12.928738,77.569273,7,4,648,0,115.0,85.0,42.8,1.0,0.95,1,0,0,13.5,0.1944,52.0
L003,Line,29,58.4,37.2,91.8,132,6993,1,13.131044,77.540285,8,4,942,0,12.7,14.3,35.2,0.0,0.02,1,0,0,0.0,0.2667,67.55
L004,Line,19,84.1,52.7,73.0,132,5392,0,12.922291,77.596575,6,2,824,0,115.0,85.0,42.8,1.0,0.95,0,0,0,24.099999999999994,0.3,42.16
L005,Line,37,75.5,88.3,33.9,66,4195,1,12.886827,77.648859,1,2,731,0,16.8,75.5,39.1,0.0,0.06,1,1,1,15.5,0.0263,46.13
L006,Line,25,50.3,38.7,97.2,33,7368,1,13.099334,77.736687,6,2,493,0,112.0,56.5,32.0,1.0,0.68,1,0,0,0.0,0.2308,50.82
L007,Line,21,84.1,24.7,80.1,132,7111,0,12.895985,77.535934,11,3,659,0,71.5,50.1,32.2,0.0,0.59,1,0,0,24.099999999999994,0.5,47.95
