equipment_id,type,age,temperature,load,health,voltage,customers_served,critical_facility,latitude,longitude
T001,Transformer,38,92.0,97.0,18.0,33,9500,Yes,12.961277,77.50378
T002,Transformer,30,85.0,88.0,25.0,132,7200,Yes,13.098937,77.629815
T003,Transformer,25,78.0,82.0,35.0,132,5800,No,13.092475,77.712369
T004,Transformer,20,83.8,74.6,60.1,66,7815,No,12.945142,77.50893
T005,Transformer,20,71.1,31.2,80.6,132,7563,Yes,13.13587,77.543097
T006,Transformer,38,79.3,36.0,69.8,33,1059,No,12.937275,77.683221
T007,Transformer,5,53.0,20.6,46.6,11,9101,No,13.004517,77.741548
T008,Transformer,31,93.1,83.0,83.3,11,5018,No,12.92679,77.600222
T009,Transformer,10,88.1,73.2,25.0,66,9453,No,13.130813,77.493169
T010,Transformer,6,80.6,76.4,12.0,220,547,No,12.899382,77.454181
T011,Transformer,24,42.7,82.5,18.1,11,2194,Yes,12.863473,77.518897
T012,Transformer,43,60.3,56.7,75.0,66,5953,No,12.980529,77.489547
T013,Transformer,33,32.8,65.5,51.6,132,2299,No,13.147713,77.653298
T014,Transformer,34,40.0,31.2,24.5,33,3991,No,13.117503,77.48655
T015,Transformer,32,74.4,29.2,55.1,132,7944,Yes,13.074582,77.601899
S001,Switch,28,88.0,91.0,20.0,33,6100,Yes,13.117238,77.658279
S002,Switch,24,92.9,57.7,72.7,220,8148,No,13.118034,77.624335
S003,Switch,7,51.2,65.2,50.2,66,1285,Yes,13.005658,77.509933
S004,Switch,38,54.1,81.2,44.3,66,2143,No,12.944779,77.691237
S005,Switch,21,60.5,70.8,37.1,11,7072,Yes,13.081604,77.664622
S006,Switch,23,42.3,64.3,66.7,66,9532,No,13.048498,77.671695
S007,Switch,17,38.4,64.7,42.6,220,2088,Yes,12.962097,77.489317
S008,Switch,9,60.9,44.3,17.9,11,3634,No,12.87834,77.487126
L001,Line,41,44.7,22.5,20.6,132,11105,No,13.074037,77.728269
L002,Line,35,73.5,54.9,96.6,66,11876,No,12.928738,77.569273
L003,Line,29,58.4,37.2,91.8,132,6993,Yes,13.131044,77.540285
L004,Line,19,84.1,52.7,73.0,132,5392,No,12.922291,77.596575
L005,Line,37,75.5,88.3,33.9,66,4195,Yes,12.886827,77.648859
L006,Line,25,50.3,38.7,97.2,33,7368,Yes,13.099334,77.736687
L007,Line,21,84.1,24.7,80.1,132,7111,No,12.895985,77.535934
