equipment_id,previous_incidents,severity,last_failure_date,failure_next_7_days
T001,11,Critical,2022-05-10,1
T002,8,High,2022-06-17,1
T003,6,High,2022-09-14,1
T004,9,High,2023-05-27,0
T005,6,Medium,2022-05-25,0
T006,6,High,2023-03-23,0
T007,9,Low,2022-11-25,0
T008,7,Medium,2023-04-26,1
T009,0,Medium,2023-04-27,0
T010,3,High,2023-08-14,1
T011,2,Medium,2022-01-29,0
T012,8,Medium,2023-08-21,1
T013,0,Medium,2023-10-03,0
T014,2,Low,2022-02-15,0
T015,7,Low,2022-11-09,0
S001,7,High,2023-01-30,1
S002,6,Medium,2022-07-04,0
S003,10,Low,2023-03-09,0
S004,11,Medium,2023-09-04,0
S005,1,Medium,2022-07-10,0
S006,11,Medium,2023-08-01,0
S007,7,Medium,2022-11-10,1
S008,7,High,2022-02-06,1
L001,1,Low,2022-02-15,1
L002,7,Critical,2023-03-25,0
L003,8,Critical,2022-06-04,0
L004,6,Medium,2022-09-30,0
L005,1,Medium,2023-01-01,0
L006,6,Medium,2023-08-27,0
L007,11,High,2023-03-14,0
