location,rainfall,wind,temperature,storm,flood_risk,latitude,longitude
Zone_1,115.0,85.0,42.8,1,0.95,12.968089,77.574879
Zone_2,3.0,44.7,38.3,1,0.28,12.945397,77.464776
Zone_3,66.6,71.7,35.0,0,0.15,13.001358,77.562084
Zone_4,76.1,6.5,34.4,0,0.12,13.112501,77.607126
Zone_5,12.7,14.3,35.2,0,0.02,13.105339,77.480502
Zone_6,16.8,75.5,39.1,0,0.06,12.863043,77.700038
Zone_7,50.3,72.7,42.7,1,0.17,12.90445,77.465589
Zone_8,115.9,24.8,35.7,0,0.05,12.921023,77.727453
Zone_9,71.5,50.1,32.2,0,0.59,12.924816,77.479734
Zone_10,112.0,56.5,32.0,1,0.68,13.02137,77.703072
